State,County,Vehicle_Count,Manufacturer_Count,Model_Count,Avg_Range,Median_Range
OR,Deschutes,2,1,2,119.0,119.0
OR,Lane,2,2,2,14.0,14.0
OR,Lincoln,1,1,1,25.0,25.0
OR,Multnomah,1,1,1,14.0,14.0
OR,Polk,1,1,1,42.0,42.0
PA,Cumberland,1,1,1,0.0,0.0
PA,Philadelphia,1,1,1,0.0,0.0
SC,Beaufort,1,1,1,0.0,0.0
SC,Berkeley,1,1,1,53.0,53.0
SC,Charleston,3,3,3,17.0,19.0
SC,Dorchester,1,1,1,0.0,0.0
TX,Bell,1,1,1,0.0,0.0
TX,Bexar,3,3,3,15.333333333333334,21.0
TX,Collin,3,3,3,35.666666666666664,0.0
TX,Coryell,1,1,1,0.0,0.0
TX,Dallas,1,1,1,0.0,0.0
TX,El Paso,2,1,2,205.0,205.0
TX,Galveston,1,1,1,26.0,26.0
TX,Nueces,2,2,2,173.5,173.5
TX,Tarrant,1,1,1,220.0,220.0
TX,Travis,1,1,1,0.0,0.0
TX,Wichita,2,1,2,207.5,207.5
TX,Williamson,1,1,1,17.0,17.0
TX,Wilson,1,1,1,19.0,19.0
UT,Salt Lake,2,2,2,132.0,132.0
VA,Alexandria,3,3,3,11.333333333333334,0.0
VA,Charlottesville,1,1,1,35.0,35.0
VA,Chesapeake,3,2,3,107.33333333333333,38.0
VA,Fairfax,9,4,7,74.66666666666667,42.0
VA,Goochland,1,1,1,32.0,32.0
VA,Henrico,1,1,1,19.0,19.0
VA,Loudoun,2,1,2,0.0,0.0
VA,Newport News,1,1,1,210.0,210.0
VA,Norfolk,3,3,3,126.0,38.0
VA,Portsmouth,1,1,1,19.0,19.0
VA,Stafford,3,1,2,73.33333333333333,0.0
VA,Suffolk,1,1,1,215.0,215.0
VA,Virginia Beach,5,4,5,73.0,32.0
VA,Williamsburg,1,1,1,38.0,38.0
WA,Adams,41,9,17,81.63414634146342,21.0
WA,Asotin,63,16,27,62.77777777777778,25.0
WA,Benton,1800,28,86,70.73722222222223,25.0
WA,Chelan,863,28,68,80.37775202780996,25.0
WA,Clallam,920,28,74,67.13478260869566,26.0
WA,Clark,8849,33,110,65.57136399593175,21.0
WA,Columbia,18,5,9,65.61111111111111,0.0
WA,Cowlitz,762,28,71,69.93700787401575,21.0
WA,Douglas,294,22,48,73.93877551020408,19.0
WA,Ferry,24,6,12,99.79166666666667,31.5
WA,Franklin,511,24,61,71.48140900195695,21.0
WA,Garfield,3,2,3,26.666666666666668,19.0
WA,Grant,452,22,58,70.14159292035399,21.0
WA,Grays Harbor,533,25,61,62.590994371482175,21.0
WA,Island,1640,27,87,75.37378048780488,25.0
WA,Jefferson,875,25,71,77.61371428571428,35.0
WA,King,79075,35,123,68.5611381599747,14.0
