,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis,range,iqr,cv_percent
High_Range_Premium_Flag,150482.0,0.0003123297138528196,0.01767015107170649,0.0,0.0,0.0,0.0,1.0,0.00031223423889693,56.55801238015774,3196.851252548669,1.0,0.0,5657.531220367098
Model_Year_Decade,150482.0,2016.34335003522,4.822795895949484,1990.0,2010.0,2020.0,2020.0,2020.0,23.259360253987186,-0.5685184100243686,-1.6356729465934459,30.0,10.0,0.23918525066007448
Range_Score,150482.0,1.4692255552159061,0.8528467208302821,1.0,1.0,1.0,1.0,4.0,0.7273475292309651,1.4234001240124734,0.37767661124691587,3.0,0.0,58.04736500822396
Log_MSRP,150482.0,0.2502110739818331,1.633016529745261,0.0,0.0,0.0,0.0,13.647093089770562,2.6667429864212546,6.379741079093245,38.74396137345987,13.647093089770562,0.0,652.6555774521108
Range_per_10K_MSRP,3455.0,21.023200567954248,13.167725108995906,0.1420118343195266,3.252032520325203,29.10798122065728,29.756795422031477,44.24040066777963,173.38898454608125,-0.448902775639705,-1.3795124497435243,44.098388833460106,26.504762901706272,62.63425526685753
Is_BEV,150482.0,0.776219082680985,0.4167783255898542,0.0,1.0,1.0,1.0,1.0,0.17370417268148255,-1.325514005381171,-0.24301585154783156,1.0,0.0,53.693388231366654
Is_PHEV,150482.0,0.2237809173190149,0.4167783255898542,0.0,0.0,0.0,0.0,1.0,0.17370417268148255,1.3255140053811718,-0.2430158515478298,1.0,0.0,186.24390791807707
Manufacturer_Frequency,150482.0,35411.81975252854,31051.667593310613,2.0,6198.0,13497.0,68983.0,68983.0,964206060.3254564,0.13549674515818577,-1.9416771794613625,68981.0,62785.0,87.687297095466
Model_Frequency,150482.0,13155.110857112479,12018.344538172994,1.0,1917.0,7611.0,27709.0,28502.0,144440605.43823263,0.32691817349689983,-1.7219696617027718,28501.0,25792.0,91.35874770431998
State_EV_Count,150482.0,149800.85477332838,7137.371437031382,1.0,150141.0,150141.0,150141.0,150141.0,50942071.03015141,-20.935789234390164,436.31309449328535,150140.0,0.0,4.764573238137604
City_EV_Count,150482.0,6441.1057933839265,8949.123742784892,1.0,771.0,2276.0,5502.0,25678.0,80086815.76367627,1.567927928501136,0.72298187194842,25677.0,4731.0,138.93769222013265
Utility_EV_Count,150482.0,32412.1256229981,20305.38828787234,1.0,8643.0,29865.0,55637.0,55637.0,412308793.5212633,-0.1737922793030938,-1.3101070127858292,55636.0,46994.0,62.64750582561177
CAFV_Eligible_Flag,150482.0,0.5368349702954506,0.49864299582578914,0.0,0.0,1.0,1.0,1.0,0.24864483728611797,-0.14774281467956193,-1.9781983523819002,1.0,1.0,92.88571412390623
Has_Location,150482.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Has_Census_Tract,150482.0,0.9999800640608179,0.004464938321995059,0.0,1.0,1.0,1.0,1.0,1.9935674219220057e-05,-223.96130613236664,50157.33326687924,1.0,0.0,0.4465027336508486
Has_Legislative_District,150482.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Has_VIN,150482.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Missing_Features_Count,150482.0,3.3943262317087757,0.7171549902725256,0.0,3.0,3.0,4.0,5.0,0.5143112800727864,-2.2400190631193957,8.802130240668989,5.0,1.0,21.12805138095093
Data_Completeness_Pct,150482.0,94.93384144521077,1.0703805824963015,92.53731343283582,94.02985074626866,95.52238805970148,95.52238805970148,100.0,1.1457145913851219,2.2400190631194565,8.80213024066929,7.462686567164184,1.4925373134328197,1.1275016013273318
